fontTitleLarge,google-symbols,bYkqId,wNNZR,hfpxzc href,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (2),doJOZc,W4Efsd (3),W4Efsd (4),W4Efsd (5),FQ2IWe src,Jn12ke src,ah5Ghc,ah5Ghc (2),ah5Ghc (3),W4Efsd (7),ah5Ghc (4),ah5Ghc (5),ah5Ghc (6),ah5Ghc (7)
結果,,,分享,,,,,,,,,,,,,,,,,,,,
結果,,,分享,,,,,,,,,,,,,,,,,,,,
,,,,https://www.google.com/maps/place/%E9%95%B7%E5%AE%89%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442ae502582e52d:0x2c411ced98366ab5!8m2!3d25.1354668!4d121.5001621!16s%2Fg%2F1tv3lcp1!19sChIJLeWCJVCuQjQRtWo2mO0cQSw?authuser=0&hl=zh-TW&rclk=1,長安公園,4.3,(754),公園,·,,·,育仁路109號對面(薇閣國小旁,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx-NGEn7FxUVNOKy8fhCFMYJQQ2MZshOvnn4k0hWxrIYJoP7Cm6_zPtMsZ1n1ExIzIBl3JVVcHBSg08DcOkMvr1z3WR5RkY_66j7F0e7GZyp_KnKuGdS3hJ3x7UJ6i-LFTY8HBjPw=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""滑翔",溜滑梯,"高度做的比較低，可以讓小孩自己遊玩，很便民！""",,,,,
,,,,https://www.google.com/maps/place/%E6%96%B0%E5%8C%97%E5%A4%A7%E9%83%BD%E6%9C%83%E5%85%AC%E5%9C%92%E7%86%8A%E7%8C%B4%E6%A3%AE%E6%A8%82%E5%9C%92/data=!4m7!3m6!1s0x3442a8e54a80e5af:0xd606e374c153ce5c!8m2!3d25.0565029!4d121.4815965!16s%2Fg%2F11ggvv2x6_!19sChIJr-WASuWoQjQRXM5TwXTjBtY?authuser=0&hl=zh-TW&rclk=1,新北大都會公園熊猴森樂園,4.6,"(6,377)",旅遊景點,·,,·,水漾路一段,營業中,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxKEYu6DFPWmmAM66yNqPpcU5ESNXKZ3k73UP13Qc_Wd5scunmKwDAFPOZ3_mFW252wAiX9mqbqizhTF95QH_FVhGQ-JDdJZjSBa4av0Ev-0rnJwzV9Pl691_DUEpq8QlyYaMF9=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""超大",公園,可能有四五十個,· 打烊時間：23:00,溜滑梯,吧，各種不同,公園,"設施，小朋友玩瘋，老爸曬瘋"""
,,,,https://www.google.com/maps/place/%E7%AB%8B%E8%BE%B2%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442aef09c9080f9:0x874ea9495155fa41!8m2!3d25.11844!4d121.50353!16s%2Fg%2F1tf6v1pb!19sChIJ-YCQnPCuQjQRQfpVUUmpToc?authuser=0&hl=zh-TW&rclk=1,立農公園,4.3,"(1,762)",公園,·,,·,承德路七段378號,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxrl1NOrmW1l7OquPc2rTq_QcdRtUf17yBHzGAbs2hN0z5WevI7D4O3jfPetCuFMAKRz02jRBpkxULCmPizr7fv_p_SfRQKRxJHp7O99p24bXO_9OXUOdRbpsNQyPtFN5rMshaM=w179-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""",公園,內設有兒童遊戲場，包含,有遊樂設施的蓊鬱綠地,溜滑梯,"、沙坑等遊樂設施，讓孩子們能夠盡情玩耍。""",,
,,,,https://www.google.com/maps/place/%E7%B6%9C%E5%90%88%E5%85%92%E7%AB%A5%E9%81%8A%E6%A8%82%E5%8D%80-%E5%A4%A9%E6%AF%8D%E9%81%8B%E5%8B%95%E5%85%AC%E5%9C%92%E8%A8%AD%E6%96%BD/data=!4m7!3m6!1s0x3442ae81090a3bff:0xec6241f2b36eeccd!8m2!3d25.1147065!4d121.5336994!16s%2Fg%2F11c2y7j5g5!19sChIJ_zsKCYGuQjQRzexus_JBYuw?authuser=0&hl=zh-TW&rclk=1,綜合兒童遊樂區-天母運動公園設施,4.6,(597),旅遊景點,·,,·,忠誠路二段77號,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwKkgMDkXM5rJvt3a_ZVpgA_9WFSGpMgN56Ntcg7tb8VE6OiAq7m3Jo-ZeTj5OAs_-ZU25kBa2OJqY3YoIqWiVK9sZZeoNyRe8HuEd8QouDH6xv3z_HxCaWxiPHIJydDgTEVmWq=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""作為一個",溜滑梯,"大師
直的那個是我目",,前,"溜過最快最刺激的一個""",,
,,,,https://www.google.com/maps/place/%E9%8C%A6%E5%92%8C%E9%81%8B%E5%8B%95%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3468028631c00689:0xbf30f7bf61fa624!8m2!3d24.9929001!4d121.4886939!16s%2Fg%2F1pztnhd97!19sChIJiQbAMYYCaDQRJKYf9nsP8ws?authuser=0&hl=zh-TW&rclk=1,錦和運動公園,4.4,"(7,062)",體育公園,·,,·,錦和路350-1號,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzj-OpI_eUuA2JlO5N_S-6PQS8yQyzNgFdJk_hBGxc5PjaMFrzYY2jP9VsVX5lSVrz4_Vq7Dni9y6CrEbmWKjSkKEeGHktRGSq0Y3J_hfTHJHPPEZ_g4Aj9jEKwAXCuDVLtcn8v=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""...",公園,中和錦和運動,綠意盎然的遊樂場與運動場,公園,遊戲場樹洞,溜滑梯,變北台灣首座滾輪
,,,,https://www.google.com/maps/place/%E5%8C%97%E6%8A%95%E5%85%AC%E5%9C%92%E5%85%92%E7%AB%A5%E9%81%8A%E6%88%B2%E5%A0%B4/data=!4m7!3m6!1s0x3442ae435d8d243d:0x4ac3178d1b73c089!8m2!3d25.1369744!4d121.5072039!16s%2Fg%2F12m93z5gz!19sChIJPSSNXUOuQjQRicBzG40Xw0o?authuser=0&hl=zh-TW&rclk=1,北投公園兒童遊戲場,3.9,(255),旅遊景點,·,,中山路2號,,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwm--lPet-bg4vb6I0bL54FWMWmkC-9oPOYv7tOBhiM3ShDwFMBevJjG7maeaO8o857vLKf6gKSQmV1q4LVZfdejzd4YwZEIe7YK2Aooy0bwaGad5UPWPVYxxym0Y2-XqLhkEBW=w163-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""",公園,裡面竟然有長長的磨石子,,溜滑梯,"及跳跳床，綠意盎然，很值得親子共遊""",,
,,,,https://www.google.com/maps/place/%E6%96%87%E5%B1%B1%E6%A3%AE%E6%9E%97%E5%85%AC%E5%9C%92%E8%B6%A3%E6%8E%A2%E9%9A%AA%E4%B9%8B%E4%B8%98/data=!4m7!3m6!1s0x3442abce3abb1273:0x7da26f01a21e3251!8m2!3d25.004294!4d121.548321!16s%2Fg%2F11q4dlpz9m!19sChIJcxK7Os6rQjQRUTIeogFvon0?authuser=0&hl=zh-TW&rclk=1,文山森林公園趣探險之丘,4.3,(732),公園,·,,福興路95巷,,營業中,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyCd252zoh2NJ8K32yEry-MPQOmuyUJ-9vHZLwp0ACG56AstwXhxhXWjzf9BqomAs3YC33wzZTFnM7Zi_G3GZq--c0QBIV90dlaSgQkEzAK0HlCJ5Yn4AKlwNsIFluT2YdEKdI=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""最長但不滑的",溜滑梯,"，比較像是某種健身器材（卡在滑道上也不是辦法）""",· 打烊時間：19:00,,,,
,,,,https://www.google.com/maps/place/%E9%A0%AD%E5%89%8D%E9%81%8B%E5%8B%95%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a88a1e76ad1b:0x14bb04f62a36991e!8m2!3d25.051126!4d121.462797!16s%2Fg%2F11gzphk71!19sChIJG612HoqoQjQRHpk2KvYEuxQ?authuser=0&hl=zh-TW&rclk=1,頭前運動公園,4.4,"(3,083)",公園,·,,·,頭前路123號,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy4qIym5b1eGA7QmIY1GQ3VgzdGUYY6_a-84aZfkTdUVi8JM8zPWOF1OoK0XNwBVicAaoMWGeZa_sounDX04q3rZ6vlYwRMI-KRw1lJF6izGXMEv14vCz815i0mI74jO3cIC5n0Ww=w80-h106-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""適合2-6歲兒童，可玩沙玩水溜",滑梯,"攀爬，騎自行車滑步車，廁所好停車""",可欣賞蓮花的都會綠地,,,,
,,,,https://www.google.com/maps/place/%E4%B8%89%E9%87%8D%E5%85%AD%E5%90%88%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a8dee5c68089:0x56bb2d046164cab7!8m2!3d25.0690632!4d121.4879684!16s%2Fg%2F1tf7_8y6!19sChIJiYDG5d6oQjQRt8pkYQQtu1Y?authuser=0&hl=zh-TW&rclk=1,三重六合公園,4.1,"(1,038)",公園,·,,·,自強路二段50巷,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzTFlXcOJmfEm75IjbOSk9-OPGUJtvecLsaQ39aXSGOmUD0-B18_sY1KbWLx0kINXDQlJt1HNUQQmcQssR2IuO-Zu99513CYdsuIV7Yp9dqwAvHAPCH3S6bK2RKMch4RTMAmzX7=w163-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""蜘蛛人旋轉",溜滑梯,"很快速，有看見幼兒撞頭父母請小心。""",,,,,
,,,,https://www.google.com/maps/place/%E9%9D%92%E5%B9%B4%E5%85%AC%E5%9C%92%E5%A4%AA%E7%A9%BA%E5%A0%A1%E5%A3%98%E6%BA%9C%E6%BB%91%E6%A2%AF/data=!4m7!3m6!1s0x3442a9b86acfa0b1:0x2909058066fb525a!8m2!3d25.0205997!4d121.5039866!16s%2Fg%2F11dxss6bf3!19sChIJsaDParipQjQRWlL7ZoAFCSk?authuser=0&hl=zh-TW&rclk=1,青年公園太空堡壘溜滑梯,4.4,(690),遊樂場,·,,·,青年路194號,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSycYf9StBSEVRUVfpMcX_bD2Q2iuLDrlFcu2amiHdg46ZeuiJ1bz0MsPMoN0DIe3-OowTNyih2_GLNjFPAB95sFxTG4NR06Y2z5yVeebcXu4xjUkeA6JidWNRsSup2jh9-LHQ56=w163-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""",公園溜滑梯,"造型特殊，磨石子軌道，重新粉刷修復，歷久彌新""",,,,,
,,,,https://www.google.com/maps/place/%E5%85%AB%E9%87%8C%E5%95%86%E6%B8%AF%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a4555890ca93:0x81fb9d0fdec97f99!8m2!3d25.1501193!4d121.3989399!16s%2Fg%2F11c2r9ml8z!19sChIJk8qQWFWkQjQRmX_J3g-d-4E?authuser=0&hl=zh-TW&rclk=1,八里商港公園,4.1,"(1,381)",城市公園,·,,·,商港三路商港一路商港七路交叉口,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzOTXbgetbxWKowg6MOChETnMSQOu-SbGCOk4qVWiL7FYYVfp3T6BQazXUdvMmOh36WzonAt6IsHz8qPm7BlvyLc7ANR9GTzoDJt60GR_OOMwZ_u7FJM6_vZ8bHFZOLz0BGplU=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""",公園,腹地蠻大，小孩玩樂設施不多，最引目光即大鯨魚,,溜滑梯,"""",,
,,,,https://www.google.com/maps/place/%E7%80%91%E5%B8%83%E6%BB%91%E8%8D%89%E5%A0%B4/data=!4m7!3m6!1s0x3442a92792256489:0xb14f85c3676cc1c2!8m2!3d25.059698!4d121.4797976!16s%2Fg%2F11qbphq__z!19sChIJiWQlkiepQjQRwsFsZ8OFT7E?authuser=0&hl=zh-TW&rclk=1,瀑布滑草場,4.2,(15),遊樂場,·,,·,241,營業中,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSziM4dA0UYkjGsxYBCGoZ5DCgS5sZ4odB9zjf3we5AgEPw5OtizBYgtQCvIZ8LqSFFTM0dOIwj1tjqYwpAl6opu1Weo4numniH03YXcy_oEdWKJXyJUA3UCfKzj-48gfgyorfM=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""滑草板很好用，不夠滑的話，還可以去那邊打蠟滿不錯的""",,,· 打烊時間：23:00,,,,
,,,,https://www.google.com/maps/place/%E6%A8%B9%E6%9E%97%E5%8F%A3%E5%85%AC%E5%9C%92+%E7%9F%B3%E9%A0%AD%E6%BA%9C%E6%BB%91%E6%A2%AF/data=!4m7!3m6!1s0x3442a6f0b9e7b5b9:0x7d6911c4b1528b9b!8m2!3d25.0778637!4d121.39315!16s%2Fg%2F11c2ptbvb2!19sChIJubXnufCmQjQRm4tSscQRaX0?authuser=0&hl=zh-TW&rclk=1,樹林口公園 石頭溜滑梯,4.1,(103),公園,·,,,,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwNj5ZE0lsR3vOtPX3aU-83DCc5UK7MEdo6zXD9RsebcHndzeq1ElRk3wF_EM6VqftJasHzSZM92dqV5wtddSeMGQR22RbyPqU53gwKqbGzl63AoCi0AVBwURm_2W6wCYwXDQE=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""很無聊的小",公園,，沒有任何人，小朋友可以自由滑溜,,滑梯,"。""",,
,,,,https://www.google.com/maps/place/%E7%9F%A5%E8%A1%8C%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442af6cecae0ec7:0xa9531e63a97499b0!8m2!3d25.1197!4d121.4666583!16s%2Fg%2F1tfdb4qw!19sChIJxw6u7GyvQjQRsJl0qWMeU6k?authuser=0&hl=zh-TW&rclk=1,知行公園,3.8,(741),公園,·,,,,24 小時營業,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyF1r_tMFf-P9jh2o0EkRkHjnsfHjQZ_2Qp1VPqyYrSVE3F8xbbWBVOot8FK5OZEmSvmZrMAV6S4BxMEkA5zt0lEp7w-hEs5OupT5HKaR5FugyWYFVltkqR1D6AW5MZ1fLsOfKuOw=w122-h92-k-no,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""可以玩石頭沙子，但玩完無法洗手",溜滑,"梯很長，很好玩""",,,,,
